Mature Lymphocyte	UMLS:C1513026
b lymphocyte	UMLS:C0004561
CD123R(EQ)28zeta/EGFRt+ T cells	UMLS:C3896982
T Cell, Mucosal	UMLS:C1512944
cells sex	UMLS:C0017471
Erythrocytes.nucleated	UMLS:C0014762
Autologous 4S-PSMA-CAR-T Cells	UMLS:C4725933
Autologous CD19-scFv/CD28/CD137/CD27/CD3z-iCasp9 CAR-T-cells	UMLS:C4724856
Interleukin 12-activated natural killer cell	UMLS:C2338967
Jurkat Cells	UMLS:C0376448
Autologous-derived LeY-targeted CAR-T Cells	UMLS:C4329333
Akti-1/2 inhibitor treated tumor infiltrating lymphocytes	UMLS:C4055481
Phaeochromocyte	UMLS:C0376604
CD7+ Lymphoblast	UMLS:C1267851
B Cells	UMLS:C0004561
autologous anti-CD19/CD22-chimeric antigen receptor-T cells	UMLS:C4684850
Autologous CXCR2-modified CD70 CAR T-cells	UMLS:C5707294
Lymphocytes, T	UMLS:C0039194
Circulating Tumor Cells	UMLS:C0027625
Autologous CD19CAR-CD28-CD137/CD27/CD3zeta-iCasp9-expressing T-lymphocytes	UMLS:C4724856
Autologous EGFRt/19-28z/4-1BBL CAR T-Lymphocytes	UMLS:C4524459
NTLA5001	UMLS:C5666943
C-CAR039	UMLS:C5706336
KYMRIAH	UMLS:C4528643
Autologous MUC1-activated T-cells	UMLS:C5670750
Autologous NK Cells SNK01	UMLS:C5554955
Cytoplasmic CD79 cells	UMLS:C1440379
cell sperm	UMLS:C0037868
CD8+CD11a+ T Lymphocyte	UMLS:C1267827
Autologous Nectin4/FAP-targeted CAR-T Cells	UMLS:C5421268
Cells, Immature B	UMLS:C1512631
CD72+ lymphocyte	UMLS:C1267966
Cells, Th2	UMLS:C0242633
Autologous Chimeric Switch Receptor PD-1:CD28 Modified T Cells	UMLS:C4329372
Autologous iC9-IL-15-expressing AGAR T-cells	UMLS:C5575456
4SCAR22	UMLS:C4725100
AUTO-4	UMLS:C5237046
NY-ESO-1 Antigen Specific Affinity-enhanced TCR Transduced Autologous T Cells	UMLS:C4687729
2G-1 TCR retroviral vector-transduced lymphocytes	UMLS:C2826155
UWC 19	UMLS:C5448048
IOV-2001	UMLS:C5238365
SCG101	UMLS:C5706400
RAPA 201	UMLS:C5418087
Erythropoietic cell	UMLS:C1257751
Autologous Anti-BCMA CAR-T Cells spCART-269	UMLS:C5554950
CD19R(EQ)28zetaEGFRt+ Tn/mem cells	UMLS:C4522300
Bi-4SCAR CD19/70 T-cells	UMLS:C5708220
Lymphocyte Activated Killer Cells	UMLS:C2350468
T-Lymphoid Precursor Cells	UMLS:C1955941
Sperm cell	UMLS:C0037868
IMA101 T-Cells	UMLS:C4329802
Autologous IL13(EQ)BBzeta/CD19t+ TCM-enriched T Cells	UMLS:C3897094
Cell, Neural Crest	UMLS:C0815004
iCasp9-deltaNGFR-CD19CAR-CD3zeta-4-1BB-expressing Autologous T-lymphocytes	UMLS:C4744852
Cells.Human leukocyte antigen-DR+	UMLS:C1440389
CD8 cells &#x7C; XXX &#x7C; Cell markers	UMLS:C5157665
small lymphocyte	UMLS:C0229616
Cells, Nerve	UMLS:C0027882
Precursor B Lymphocyte	UMLS:C0312738
UniCAR02T	UMLS:C5446544
Suppressor T-Lymphocytes, Naturally-Occurring	UMLS:C1959571
IMA201 Autologous T-lymphocytes	UMLS:C4687450
PEI 19-187	UMLS:C5555879
autologous WT1-TCRc4 gene-transduced CD8-positive Tcm/Tn lymphocytes	UMLS:C4055421
OKT3/Humanized 3F8 Bispecific Antibody-activated T Lymphocytes	UMLS:C3896657
mast cell	UMLS:C0024880
LentiGlobin Drug Product for Sickle Cell Disease	UMLS:C5448075
CD8+CD25+ Lymphocyte	UMLS:C1267854
White Blood Cells	UMLS:C0023516
IMA202 T-cells	UMLS:C4727097
Blood Cell	UMLS:C0005773
Cell Line, PC-3	UMLS:C3890720
Sertoli Cell	UMLS:C0036770
Naturally-Occurring Suppressor T-Lymphocytes	UMLS:C1959571
pericyte	UMLS:C0598800
lymphokine-activated killer cells	UMLS:C0022687
autologous P-BCMA-101 CAR-T cells	UMLS:C4684874
THP-1 Cells	UMLS:C4505192
Cells, Eukaryotic	UMLS:C0015161
bb21217	UMLS:C4682857
autologous ROR1-CAR-T cells	UMLS:C3896611
Autologous Anti-CD19 CAR-expressing T-lymphocytes IC19/1563	UMLS:C5666893
Anti-CD22-CAR m971-BBz Cells	UMLS:C3900029
Cell positive for CD4 antigen	UMLS:C3251824
autologous NY-ESO-1 TCR-targeted T lymphocytes	UMLS:C4727621
T-helper cell type 1	UMLS:C0242632
PRGN 3006	UMLS:C5205604
anti-CD19-CD28-zeta modified CAR CD3+ T lymphocytes JCAR015	UMLS:C5700397
aMIL	UMLS:C3827031
autologous iC9-GD2-CAR-VZV-CTLs	UMLS:C3831436
TC 110 T Cells	UMLS:C5417911
Autologous Tumor Infiltrating Lymphocytes LN-144	UMLS:C5700380
CAR19 T-lymphocytes TBI-1501	UMLS:C4725690
Anti-GD2/CD70 Bispecific 4SCAR-expressing T-cells	UMLS:C5708043
Cell, Antibody-Producing	UMLS:C0003273
anti-CD19-CAR genetically engineered autologous T lymphocytes JCAR017	UMLS:C5400052
Outer Phalangeal Cell	UMLS:C0022891
MAGE-A3/A6 T Cell Receptor Engineered T-Cells	UMLS:C4525866
Autologous Cytoplasmic Activated PD-1 CAR T-cells	UMLS:C4764285
mononuclear cells	UMLS:C0806987
autologous EBV-CTL CD19CAR zeta	UMLS:C2981182
Autologous CD19 CAR-expressing T-cells YTB323	UMLS:C5446599
Hep G2 Cell	UMLS:C2717940
autologous anti-CD19 CAR-T cells TBI-1501	UMLS:C4725690
Autologous c-Met/PD-L1-specific CAR T-cells	UMLS:C5206588
Cell, HCT116	UMLS:C1258005
Cells &#x7C; Synovial fluid &#x7C; Hematology and Cell counts	UMLS:C5157926
SCRI-huCAR19v2	UMLS:C5418106
Anti-MART-1 TCR Retroviral Vector-Transduced Autologous TIL	UMLS:C1510930
Variant lymphocytes &#x7C; Fetus &#x7C; Hematology and Cell counts	UMLS:C5187118
Skeletal Muscle Fiber	UMLS:C1704336
Cell, Cultured	UMLS:C0007635
autologous 4S-PSMA-CAR-T cells	UMLS:C4725933
GAIA102	UMLS:C5667007
lymphokine activated killer cell	UMLS:C0022687
Cell, Homologous	UMLS:C3485979
GD2-CAR NKT Cells	UMLS:C4724838
Autologous CD19-CD8-CD28-CAR-mbIL15-HER1t T Cells	UMLS:C5556546
Cell, TH-2	UMLS:C0242633
PHE 885	UMLS:C5418067
Tumor Derived Activated Cell	UMLS:C0080261
Hu-CART-meso cells	UMLS:C4733678
Tr1	UMLS:C4284002
Cone (Retina)	UMLS:C0206428
PZ01	UMLS:C4727036
Autologous ET1402L1-CAR T Cells	UMLS:C4733642
Granulosa cell of ovary	UMLS:C0018207
TBI-1201	UMLS:C3896758
Chinese hamster ovary cell	UMLS:C0085080
Mesothelial Cell	UMLS:C0225335
autologous NKG2D CAR-CD3zeta-DAP10-expressing T cells CYAD-01	UMLS:C4055424
CLIC1901	UMLS:C4764289
Autologous Anti-BCMA CAR T-cells spCART-269	UMLS:C5554950
Autologous Anti-CD19 CAR-T Cells CRC01	UMLS:C5556476
Autologous ICAM-1-targeted CAR T-lymphocytes AIC100	UMLS:C5417969
B-Lymphocyte, Transitional	UMLS:C1512631
hl-60 cells	UMLS:C0282549
a-PD1-MSLN-CAR T Cells	UMLS:C5554942
B-Cell, Transitional	UMLS:C1512631
Suppressor T Lymphocytes, Naturally Occurring	UMLS:C1959571
CD19CAR-CD28-CD3zeta-EGFRt-expressing Tcm-enriched T Cells	UMLS:C4524369
Erythroid Cell	UMLS:C1257751
Autologous Anti-CD19-EGFRt-4-1BB-zeta-modified CAR CD8+ and CD4+ T-lymphocytes JCAR017	UMLS:C5400052
Autologous Anti-MART-1 F5 TCR-engineered TILs	UMLS:C5556445
CD4+CD25+ T lymphocyte	UMLS:C1267822
DARIC-expressing Anti-CD33 CAR T Cells SC-DARIC33	UMLS:C5666935
Leukocytes &#x7C; Pleural fluid &#x7C; Hematology and Cell counts	UMLS:C5170935
Glia	UMLS:C0027836
T Cells	UMLS:C0039194
Leukocytes+Platelets	UMLS:C1954324
Axicabtagene Ciloleucel	UMLS:C3896829
Lymphocytes, Bursa-Dependent	UMLS:C0004561
Lymphocytes.clefted	UMLS:C1115669
Anti-CD19/Anti-CD70 4SCAR T-cells	UMLS:C5708220
Ciltacabtagene Autoleucel	UMLS:C4727630
CD3+ T lymphocyte	UMLS:C4322670
Autologous Specific HCC Antigens CD8+ T Cells	UMLS:C4725915
Immunoglobulin-Producing Cell	UMLS:C0003273
Activated Natural Killer Cell	UMLS:C1515881
MAGE-A3/12-specific T Cell Receptor Gene-transduced Autologous Peripheral Blood Lymphocytes	UMLS:C3898559
T-cytotoxic cell type 2	UMLS:C0949432
T-Cell Precursors	UMLS:C1955941
Erythrocytes, Nucleated	UMLS:C0014762
T8 Cell	UMLS:C0242629
T Regulatory Cell 1	UMLS:C4284002
Anti-ACTR/4-1BB/CD3zeta-Viral Vector-transduced Autologous T-Lymphocytes ACTR087	UMLS:C4329309
Interphase Cell	UMLS:C1512899
HT-29	UMLS:C0282639
T4 Cell	UMLS:C0039215
anti-CD3/humanized 3F8 bispecific antibody-activated T lymphocytes	UMLS:C3896657
cells heart	UMLS:C0920751
Cell, Helper T	UMLS:C0018894
cd8 cells	UMLS:C0242629
Granulocytic cells	UMLS:C0018183
lentiviral b-A(T87Q)-globin-transduced CD34-positive cells	UMLS:C4086010
Sexual Cell	UMLS:C0017471
Autologous PBLs from Ibrutinib-treated CLL Patients	UMLS:C5238365
Cone cell of retina	UMLS:C0206428
THP 1 Cell Line	UMLS:C4505192
cell brain	UMLS:C0596208
CD4 lymphocyte	UMLS:C0039215
progenitor cell	UMLS:C0038250
Cell, A549	UMLS:C4277577
Autologous Anti-CD19 CAR-T Cells CNCT19	UMLS:C5446546
T Cells, Helper	UMLS:C0018894
MuSK-CAART	UMLS:C5706536
B Lymphoid Precursor Cells	UMLS:C1512631
Neoantigen-specific T-cells NEO-PTC-01	UMLS:C5555592
CD4 cells	UMLS:C3251824
transposon-manipulated allogeneic CARCIK-CD19 cells	UMLS:C4727557
Alpha Beta T-Lymphocyte	UMLS:C4744787
Type 1 Helper Cell	UMLS:C0242632
natural killer cell	UMLS:C0022688
Autologous CART22-65s Cells	UMLS:C4744687
Leukocytes &#x7C; Vaginal &#x7C; Hematology and Cell counts	UMLS:C5170945
PBMC (peripheral blood mononuclear cell)	UMLS:C1321301
Autologous Anti-CD79a/anti-CD20 CAR T-cells bbT369	UMLS:C5667051
CD19CAR-CD28-CD3zeta-EGFRt-expressing Tcm-enriched T-lymphocytes	UMLS:C4524369
Cells, Teratocarcinoma Stem	UMLS:C0013485
CC98633	UMLS:C5418015
sertoli cell	UMLS:C0036770
Lymphocytes clefted &#x7C; Blood or Tissue &#x7C; Hematology and Cell counts	UMLS:C5171674
cells u937	UMLS:C0600531
Cell, Hep G2	UMLS:C2717940
MDA-MB-231 Cell Lines	UMLS:C5690732
reproductive cells	UMLS:C0017471
Autologous CC-EIEs	UMLS:C4733629
Polymorphonuclear leucocyte	UMLS:C0027950
TRBC1-targeting CAR T Cells AUTO4	UMLS:C5237046
autologous anti-CD19CAR-HER2t/CD22CAR-EGFRt-expressing T cells	UMLS:C4733647
CD3+CD26+ Lymphocyte	UMLS:C1267819
Hepatic Cells	UMLS:C0227525
IMA 201	UMLS:C4687450
Autologous PDCD1-knockout TILs IOV-4001	UMLS:C5706421
Mouse Pro-B-Lymphocyte	UMLS:C1517819
heart cell	UMLS:C0920751
Cell, Goblet	UMLS:C0506994
Acinous Cells	UMLS:C0596030
Tr1 Cells	UMLS:C1563925
Cell, Hematopoietic Stem	UMLS:C0018956
Autologous E6 TCR T-cells	UMLS:C4726563
anti-GPC3 CAR autologous T cells	UMLS:C4055459
Cell, L (Cell Line)	UMLS:C0022827
B lymphocytes &#x7C; Blood &#x7C; Cell markers	UMLS:C5154002
CD96+ lymphocyte	UMLS:C1267983
TCR T Cells	UMLS:C4527420
Cells, Testicular Interstitial	UMLS:C0023602
Autologous HER2-CAR-T Cells BPX-603	UMLS:C5447541
MSGV1AIB (Anti-MART-1 TCR) Retroviral Vector-Transduced Autologous TIL	UMLS:C1510930
Autologous Melanoma Specific Cytotoxic T Lymphocytes	UMLS:C3900002
Neural Crest Cell	UMLS:C0815004
Anti CD123-CAR/CD28-CD3zeta-EGFRt-expressing Autologous T Lymphocytes MB-102	UMLS:C5575170
Cell lines	UMLS:C0007600
Therapeutic Invariant Natural Killer T-cells	UMLS:C4723769
NX-0255 Drug-enhanced TILs	UMLS:C5666969
LMP2A-CTL	UMLS:C1328049
Cell-Mediated Lympholytic Cells	UMLS:C0039195
Lymphoblasts &#x7C; Blood &#x7C; Hematology and Cell counts	UMLS:C5171584
CTLs ATA129	UMLS:C5700403
polymorph	UMLS:C0027950
SCDARIC33	UMLS:C5666935
LN-145-S1	UMLS:C5417988
neural cell	UMLS:C0027882
AIC-100	UMLS:C5417969
RNA CART123 Cells	UMLS:C4085999
CC-98633	UMLS:C5418015
anti-MAGE-A3-DP4 TCR PBL	UMLS:C3898995
Autologous Anti-BCMA CD8+ CAR T-cells Descartes-11	UMLS:C5417981
LentiGlobin BB305 LVV-transduced Autologous SCD CD34+ HSCs bb1111	UMLS:C5447474
Anti-MAGE-A3-DP4 TCR PBL	UMLS:C3898995
NK-Cell	UMLS:C0022688
blood erythrocytes	UMLS:C0014792
Myeloid cells	UMLS:C0887899
Anti-gp100 TCR Retroviral Vector-Transduced Autologous TIL	UMLS:C1515997
3T3 cell	UMLS:C0085087
Autologous CD3zeta-4-1BB-expressing CART-19 Cells	UMLS:C4725911
HLA-DR+ cells &#x7C; Blood &#x7C; Cell markers	UMLS:C5167928
Antibody-Producing Cells	UMLS:C0003273
Autologous Anti-ICAM-1-CAR-CD28-4-1BB-CD3zeta-expressing T-cells AIC100	UMLS:C5417969
B-lymphocyte	UMLS:C0004561
Retroviral Vector-transduced Anti-PLAP CAR Autologous T-cells	UMLS:C5555589
cells mononuclear	UMLS:C0806987
Erythrocyte, Nucleated	UMLS:C0014762
cells parenchymal	UMLS:C0682552
Leukocytes &#x7C; Semen &#x7C; Fertility testing	UMLS:C5170937
Hepatic Cell	UMLS:C0227525
KTE C19	UMLS:C4722589
tumor infiltrating lymphocyte	UMLS:C0079722
CHO	UMLS:C0085080
Adventitial cell	UMLS:C0598800
helper t cell	UMLS:C0018894
Personalized Neoantigen-targeted T Cells NEO-PTC-01	UMLS:C5555592
AL	UMLS:C1711172
CD11+ lymphocyte	UMLS:C1267864
Autologous Anti-NY-ESO-1 TCR/CD8a-expressing T-cells GSK3901961	UMLS:C5446937
Cellula	UMLS:C0007634
Autologous Anti-MSLN CAR T-cells TAK-103	UMLS:C5667010
L-Cell	UMLS:C0022827
cells lining	UMLS:C0007600
MDA autologous tumor-infiltrating lymphocytes	UMLS:C4727163
Autologous IL-15 Expanded HER2-specific CD4+ T Cells	UMLS:C5707291
Mature T-Lymphocyte	UMLS:C1513029
Chromaffin cell	UMLS:C0376604
anti-HLA-A2/NY-ESO1 TCR-transduced autologous T cells	UMLS:C4055458
Bi-4SCAR-CD19/79b T-cells	UMLS:C5708221
Lymphocytes B	UMLS:C0004561
Autologous Natural Killer Cell-like CTLs	UMLS:C4723770
Autologous CM-CS1 T Cells	UMLS:C4055424
Autologous Dual-switch GoCAR-T Cells BPX-603	UMLS:C5447541
Anti-CD19-CAR T-cells TBI-1501	UMLS:C4725690
Epitheliocyte	UMLS:C0014597
Autologous Anti-ROR2 CAR T Cells CCT301-59	UMLS:C4727550
Cell Line, MDA-MB-231	UMLS:C5690732
Aminergic cells in ventral tegmental area [A10]	UMLS:C1183184
T8 Lymphocyte	UMLS:C0242629
Autologous Anti-mesothelin T-cell Receptor Fusion Construct T-cells TC-210	UMLS:C5700416
Anti-AFP TCR-expressing Autologous CTLs	UMLS:C4527154
Neutrophil, Polymorphonuclear	UMLS:C0027950
autologous CD19CAR-CD28-CD3zeta-EGFRt-expressing Tcm-enriched T cells	UMLS:C3642265
Anti-CD19/Anti-CD70 4SCAR-expressing Bispecific T-cells	UMLS:C5708220
Autologous Anti-HLA-A*02/AFP TCRm-expressing T-cells ET140202	UMLS:C5206468
cytokine-induced killer cells	UMLS:C2348032
Mast Cells	UMLS:C0024880
CD7+ cell	UMLS:C0882920
CAR-modified T-cells	UMLS:C4527316
TISAGENLECLEUCEL	UMLS:C3640939
Cells, Rouget	UMLS:C0598800
Precursor B-Lymphocyte	UMLS:C0312738
LYL 797	UMLS:C5706365
mother cells	UMLS:C0038250
Progenitor Cell, Lymphoid	UMLS:C1955939
CD8+ T Cell	UMLS:C0242629
MAGE-A4-specific TCR gene-transduced C1032 T-lymphocytes	UMLS:C4528709
GD2-CAR-expressing autologous natural killer T cells	UMLS:C4724838
KTE-X19	UMLS:C5392346
huCART19 Cells	UMLS:C4744702
CD8+CD56+ NK lymphocyte	UMLS:C4322674
T-Cell, Natural Killer	UMLS:C2350466
Lymphocytes.activated T cells	UMLS:C1440937
Anti-NY-ESO-1 TCR Transduced Autologous T Cells TAEST16001	UMLS:C4687729
Anti-K-RAS G12V mTCR-transduced Autologous PBLs	UMLS:C4684891
Mouse Plasma Cell	UMLS:C1522117
E6 TCR T cells	UMLS:C3900005
Precursor Cells, T-Lymphoid	UMLS:C1955941
Autologous Anti-PSMA Gene-Modified T-Lymphocytes	UMLS:C2698278
Anti-PSMA/Anti-CD70 4SCAR-expressing Bispecific T-cells	UMLS:C5708042
CD4 Lymphocyte	UMLS:C0039215
Granular leucocyte	UMLS:C0018183
HPVST Cells	UMLS:C4050617
Precursor NK-Cell	UMLS:C1514302
Reed-Sternberg Cell	UMLS:C0085133
Normal cell	UMLS:C1268443
HPV16 E7 T-cell Receptor Engineered T-cells KITE-439	UMLS:C5204822
COS Cell	UMLS:C0376702
Follicular Helper T Cell	UMLS:C5392114
CD5+CD8+ Lymphocyte	UMLS:C1267849
CCT301 59	UMLS:C4727550
CD19+ B Lymphocyte	UMLS:C1267837
CD3-CD16+ Lymphocyte	UMLS:C1267838
granulocytes	UMLS:C0018183
Haploid germ cell	UMLS:C0017471
CD14+ Lymphoblast	UMLS:C1267873
BCL2 cells	UMLS:C1440231
Cell, HepG2	UMLS:C2717940
Eosinophil leukocyte	UMLS:C0014467
Nucleated cell	UMLS:C1180059
autologous anti-mesothelin mRNA-transfected CIR T cells	UMLS:C3273206
spermium	UMLS:C0037868
Pericyte	UMLS:C0598800
Anti-cancer Immune Cell	UMLS:C4329351
Nucleated Red Blood Cells	UMLS:C0014762
autologous CD19- scFv/CD28/CD137/CD27/CD3z-iCasp9 4SCAR-19 T cells	UMLS:C4724856
Autologous EGFR806 Specific CAR T Cells	UMLS:C4745144
Autologous ACTR-CD16-CD28-expressing T-lymphocytes ACTR707	UMLS:C4682464
Oxyphilic Cell	UMLS:C0949666
Autologous CD19-specific CAR-T Cells SJCAR19	UMLS:C4684890
Chromaffin Cells	UMLS:C0376604
prolymphocyte	UMLS:C0229614
Myocyte, Cardiac	UMLS:C0225828
leukocyte	UMLS:C0023516
Stem Cells, Teratocarcinoma	UMLS:C0013485
CD4+ CD25+ FOXP3+ Regulatory T Cells	UMLS:C1267822
Therapeutic gamma delta T-lymphocytes	UMLS:C4086901
CART-EGFR-IL13Ra2 Cells	UMLS:C5669986
hemocytoblasts	UMLS:C0038250
Autologous Anti-CD19 Chimeric Antigen Receptor T-cells SJCAR19	UMLS:C4684890
cells epithelial	UMLS:C0014597
Cardiac myocyte	UMLS:C0225828
U937 Cell	UMLS:C0600531
A549 Cell Lines	UMLS:C4277577
huJCAR014	UMLS:C4524461
Transitional B Lymphocytes	UMLS:C1512631
CD68+ lymphocyte	UMLS:C1267963
Beti-cel	UMLS:C4086010
Autologous Cytokine-induced Memory-like NKs	UMLS:C5556651
Anti-Her-2-Chimeric Antigen Receptor-Engineered Autologous Peripheral Blood Lymphocytes	UMLS:C2698146
anti-CD22 scFv TCRz:41BB-CAR lentiviral vector-transduced autologous T lymphocytes	UMLS:C4085963
Supporting Cell of Organ of Corti	UMLS:C0022891
Hematopoietic Stem Cell	UMLS:C0018956
cells progenitors	UMLS:C0038250
Follicular Helper T Cells	UMLS:C5392114
autologous TAAs-loaded autologous dendritic cells AV-GBM-1	UMLS:C4727558
Common Lymphoid Progenitor	UMLS:C1955940
APRIL CAR T cells targeting BCMA and TACI	UMLS:C4725789
Dendritic Epithelial T Cells	UMLS:C4505326
T-Lymphocyte, Helper-Inducer	UMLS:C0018894
Entire cell	UMLS:C1269647
Non-dividing Cell	UMLS:C1512899
Orvacabtagene autoleucel	UMLS:C4687977
Autologous Anti-CD19/CD20 CAR-T Cells KITE-363	UMLS:C5557384
Autologous Anti-MART-1 F5 T-Cell Receptor Gene-Engineered Peripheral Blood Lymphocytes	UMLS:C1510929
anti-CD3 OKT3/anti-EGFR bispecific antibody armed activated T lymphocytes	UMLS:C4085964
IM19	UMLS:C4733644
SL22P CAR T Cells	UMLS:C5555016
LN145	UMLS:C4525956
autologous beta-A(T87Q)-globin gene-transduced CD34-positive cells	UMLS:C4086010
Autologous NKR-2 CAR-T Cells	UMLS:C4055424
Autologous 4S-FRa-CAR-T Cells	UMLS:C4725932
T Lymphocytes, Memory	UMLS:C0682639
Anti-p53 T-Cell Receptor-Transduced Peripheral Blood Lymphocytes	UMLS:C5552636
Acinic Cells	UMLS:C0596030
Line, Tumor Cell	UMLS:C0085983
CAR T Cells TAK-103	UMLS:C5667010
Autologous CD19-specific CAR-T cells PZ01	UMLS:C4727036
4H11-28z/fIL-12/EFGRt+ T cells	UMLS:C4084782
Cell Lines, Pheochromocytoma	UMLS:C0085262
CCAR039	UMLS:C5706336
Endocrine cell	UMLS:C0229525
T Cell Subsets	UMLS:C0080202
ET019002-T Cells	UMLS:C5206845
CART-BCMA Cells	UMLS:C4744703
Leukocytes &#x7C; Dialysis fluid peritoneal &#x7C; Hematology and Cell counts	UMLS:C5170927
Autologous iC9-GD2-CAR-expressing VZV-specific T Lymphocytes	UMLS:C3831436
Memory B-Lymphocytes	UMLS:C0682638
GINAKIT-cells	UMLS:C4724838
Set of corpuscles of colostrum	UMLS:C4322828
Immobilized Cells	UMLS:C0282542
Autologous Anti-Prostate-Specific Membrane Antigen Gene-Modified T-Cells	UMLS:C2698278
MART-1 Reactive CD8+ T-lymphocytes	UMLS:C3829190
ESO-1 Reactive Autologous Tumor Infiltrating Lymphocyte	UMLS:C1512138
Gamma Delta T Cell	UMLS:C1512944
Anti-CD20 CAR-T Cells 4SCAR20	UMLS:C4725101
Germ-Line Cells	UMLS:C0017471
Monocyte+Macrophage	UMLS:C1148382
BNT-221	UMLS:C5555592
Erythroblast	UMLS:C0014762
initial cell	UMLS:C0017471
T-Cell, Naturally-Occurring Suppressor	UMLS:C1959571
sperm cell	UMLS:C0037868
glial	UMLS:C0027836
autologous NY-ESO-1-melanoma-specific CD8+ T cells	UMLS:C2826112
syncytium	UMLS:C0017526
Autologous EGFR-specific CAR-T-Cells Expressing Anti-PD-1/CTLA-4 Antibodies	UMLS:C4725929
cells sperms	UMLS:C0037868
Corpuscles, White Blood	UMLS:C0023516
Effector Cell	UMLS:C0312740
YT-E001	UMLS:C5206705
CD19CAT-41BBZ CAR T-cells AUTO1	UMLS:C5700423
CD33CAR-CD3zeta-4-1BB-expressing Autologous T-Lymphocytes	UMLS:C3831168
MCARH125	UMLS:C5706462
Autologous iC9-GD2-CAR-VZV-CTLs	UMLS:C3831436
4SCAR22 T-cells	UMLS:C4725100
Autologous GDNF Family Receptor Alpha 4-targeted CAR-TCR-zeta-4-1BB-expressing T-lymphocytes	UMLS:C5556555
inducible IL-12/Anti-NY-ESO-1 TCR-expressing autologous PBL	UMLS:C3827113
Strain L Cell	UMLS:C0022827
Lymphoblast	UMLS:C0229613
Autologous Anti-CD20CAR-CD28-4-1BB-CD3zeta-expressing T-lymphocytes MB-106	UMLS:C5706491
Peripheral Blood Lymphocyte	UMLS:C1518997
antigen-presenting cells	UMLS:C0003315
t-lymphocytes	UMLS:C0039194
HSP CAR30	UMLS:C5555574
autologous anti-CTLA-4/PD-1 -xpressing EGFR-CAR-T	UMLS:C4725929
X-ACT autologous lymph node lymphocytes	UMLS:C3896582
CD4+ T Cell	UMLS:C0039215
JCAR 017	UMLS:C5400052
SCG 101	UMLS:C5706400
LLC-PK1 Cells	UMLS:C0242598
CD19-Targeted EGFRt/19-28z/4-1BBL "Armored" Chimeric Antigen Receptor Modified T-Cells	UMLS:C4524459
therapeutic lymphokine-activated killer cells	UMLS:C0022687
Activated Killer Monocyte	UMLS:C0079852
Plasma Cell	UMLS:C0032112
autologous PZ01 CAR-T cells	UMLS:C4727036
Cells.cytoplasmic CD22	UMLS:C3176905
IC19 1563	UMLS:C5666893
MAIT Cells	UMLS:C3891065
killer t cell	UMLS:C0039195
T Lymphocytes, Inducer	UMLS:C0018894
MAGE-A4-specific TCR Gene-transduced Autologous T Lymphocytes TBI-1201	UMLS:C3896758
Cell, Lymphoid	UMLS:C0086574
Autologous CAR T Product AUTO2	UMLS:C4725789
Polymorphonuclear Neutrophils	UMLS:C0027950
MDS Neoantigen-specific Autologous T-cells	UMLS:C4725001
Immature B Cells	UMLS:C1512631
MAGE-A4 TCR	UMLS:C4528709
Blood Corpuscle	UMLS:C0005773
Cells.CD7	UMLS:C0882920
Autologous Colorectal Tumor Antigen-pulsed Dendritic Cell Vaccine	UMLS:C4086004
HL 60 Cells	UMLS:C0282549
Acinus Cells	UMLS:C0596030
X-ACT	UMLS:C3896582
TC-110 T Cells	UMLS:C5417911
Cell, Acinar	UMLS:C0596030
lymphoblast	UMLS:C0229613
Autologous Anti-kappa Light Chain CAR-CD28-expressing T-lymphocytes	UMLS:C5446527
NX-0255-treated Autologous TILs DeTIL-0255	UMLS:C5666969
neural crest cell	UMLS:C0815004
anti-hCD70-CAR retroviral vector-transduced autologous PBLs	UMLS:C4329343
Suppressor T Cells, CD8 Positive	UMLS:C1956157
eosinophils	UMLS:C0014467
total tumor mRNA-pulsed tumor-specific ex vivo-expanded autologous lymphocyte transfer cells	UMLS:C4733660
CD20-4SCAR-expressing T Lymphocytes	UMLS:C4725101
Autologous HBV/TCR-T-Cells	UMLS:C4289951
K562 Cells	UMLS:C0600432
Effector T-Cell	UMLS:C3641722
smudge cells	UMLS:C0333823
NKR-2	UMLS:C4055424
T Lymphocytes, Intraepithelial	UMLS:C1512944
Transitional B-Cell	UMLS:C1512631
Reticuloendothelial System, Erythrocytes	UMLS:C0014792
cones retina	UMLS:C0206428
Cell, Stem	UMLS:C0038250
WBC (white blood cell)	UMLS:C0023516
A549 Cell Line	UMLS:C4277577
autologous MAGE A10c796 T cells	UMLS:C4287655
Autologous TILs ITIL-168	UMLS:C5666883
Human Prostatic Carcinoma Cell Line PC3	UMLS:C3890720
Hep G2 Cells	UMLS:C2717940
Kappa lymphocytes	UMLS:C1115672
ET1402L1-CAR T-cells	UMLS:C4733642
Mesothelin-specific CAR T-cells	UMLS:C4733678
MAGE-A4 SPEAR CD8alpha T-cells	UMLS:C5206827
Nucleated Red Cells	UMLS:C0014762
Autologous CD19/CD22 CAR T-cells	UMLS:C4684850
Virally-delivered Antibody-coupled TCR ACTR087	UMLS:C4329309
Cerebriform Lymphocyte	UMLS:C0333851
Giant Cells, Multinucleated	UMLS:C0017526
T-Cells, Naturally-Occurring Suppressor	UMLS:C1959571
Autologous MAGE-A3/A6-specific TCR Gene-engineered Lymphocytes KITE-718	UMLS:C4525866
