Disease, Biliary Tract	UMLS:C0005424
lips disease	UMLS:C0023760
DISORDER BLOOD (NOS)	UMLS:C0018939
testicular diseases	UMLS:C0039584
Gliomas	UMLS:C0017638
Disorders of jaw	UMLS:C0022362
epithelial tumor	UMLS:C1368683
Dental pulp--Diseases	UMLS:C0011405
spinal disease	UMLS:C0037933
Disease, Jaw	UMLS:C0022362
due	UMLS:C0678226
Urethra Disease	UMLS:C0041969
meningioma brain tumor	UMLS:C0025286
immunological diseases	UMLS:C0021053
lymphoblastoma	UMLS:C0079748
ear conditions	UMLS:C0013447
biliary tract disorder	UMLS:C0005424
Congenital Amino Acidopathies	UMLS:C0002514
Unspecified disease of pericardium	UMLS:C0265122
gastrointestinal disease	UMLS:C0017178
physical disorder	UMLS:C0683323
GLOMERULAR	UMLS:C0268731
digestive disease tract	UMLS:C0017178
Hodgkin's lymphoma	UMLS:C0019829
eye disorder	UMLS:C0015397
bilirubin disorders metabolism	UMLS:C0268305
urethra disorder	UMLS:C0041969
diseases hereditary	UMLS:C0019247
Unknown/Not Stated	UMLS:C0439673
Hepatocerebral intoxication	UMLS:C0019147
HEPATIC DAMAGE (NOS)	UMLS:C0151763
disorders tmj	UMLS:C0039494
Diseases, Hematologic	UMLS:C0018939
Blood dyscrasia NOS	UMLS:C0018939
Infectious disease NOS	UMLS:C0009450
nerve sheath neoplasm	UMLS:C0206727
diseases disorders skin	UMLS:C0037274
degenerative motor system disorder	UMLS:C0085084
Amino acids--Metabolism--Disorders	UMLS:C0002514
Lip Diseases	UMLS:C0023760
GASTRO-INTESTINAL DISORDER NOS	UMLS:C0017178
Anterior Horn Cell Disease	UMLS:C0154681
Pharynx--Diseases	UMLS:C0031345
LYMPHOMA	UMLS:C0024299
magnesium disorder	UMLS:C0012716
Disorders of calcium metabolism	UMLS:C0006705
Spinal Disease	UMLS:C0037933
disorders types	UMLS:C0457464
diseases type	UMLS:C0457464
Congenital disease	UMLS:C0242354
Digestive Diseases	UMLS:C0012242
Syndromes, Myelodysplastic	UMLS:C3463824
Addiction, Alcohol	UMLS:C0001973
DISORDER SPLEEN	UMLS:C0037997
leukemia lymphocytic	UMLS:C0023448
urological disease	UMLS:C0042075
Odontogenic Tumors	UMLS:C0028880
COMA HEPATIC	UMLS:C0019147
disease pharynx	UMLS:C0031345
nutrition diseases	UMLS:C3714509
periapical disease	UMLS:C0031028
meningiomas	UMLS:C0025286
Diseases, Mediastinal	UMLS:C0025061
Eyelid Disorder	UMLS:C0015423
urinary tract diseases	UMLS:C0042075
central nervous system disorder	UMLS:C0007682
Clinical Trials Search-Application Programming Interface Disease Category Terminology	UMLS:C4527426
diseases motor neuron upper	UMLS:C0521659
disorders gastrointestinal	UMLS:C0017178
diseases of the endocrine system	UMLS:C0014130
DISORDER NAIL	UMLS:C0027339
Boeck Sarcoid	UMLS:C0036202
artery disorders	UMLS:C0852949
disease of tongue	UMLS:C0040409
Epithelial Neoplasms	UMLS:C1368683
Myeloproliferative neoplasms (incl. CML)	UMLS:C1292778
potassium disorder	UMLS:C0268014
Gene_Involved_In_Pathogenesis_Of_Disease	UMLS:C3273056
OSTEOPATHY	UMLS:C0005940
chronic disorders	UMLS:C0008679
Cell Tumor, Giant	UMLS:C0017525
myocardiopathy	UMLS:C0878544
Menstrual molimen	UMLS:C0033046
Eyelid Diseases	UMLS:C0015423
Blood diseases	UMLS:C0018939
disease neurodegenerative	UMLS:C0524851
Hematologic Disorders	UMLS:C0018939
secretory meningioma	UMLS:C0025286
diseases neurodegenerative	UMLS:C0524851
Lipomatous tumour	UMLS:C0206631
Physical Illness	UMLS:C0683323
disorder of magnesium metabolism	UMLS:C0012716
Eye disorders	UMLS:C0015397
renal glomerular disease	UMLS:C0268731
Connective tissues--Diseases	UMLS:C0009782
Heart--Diseases	UMLS:C0018799
diseases tongue	UMLS:C0040409
Digestive System Disorders	UMLS:C0012242
blood platelet disorder	UMLS:C0005818
Not Known	UMLS:C0439673
red blood cell disorders	UMLS:C0221016
central nervous system disease	UMLS:C0007682
Urethra Disorder	UMLS:C0041969
general manifestation of disorders	UMLS:C1457887
Disease, Bronchial	UMLS:C0006261
unknowns	UMLS:C0439673
immunological disease	UMLS:C0021053
Boecks Disease	UMLS:C0036202
Nerve Sheath Tumors	UMLS:C0206727
communicative disorders	UMLS:C0009460
Diatheses	UMLS:C0012655
DISORDER CIRCULATORY SYSTEM	UMLS:C0728936
Temporomandibular Disorders	UMLS:C0039494
comorbidities	UMLS:C0009488
Diseases, Urethral	UMLS:C0041969
Encephalopathy, Hepatocerebral	UMLS:C0019151
Diagnoses	UMLS:C0011900
Recovery	UMLS:C2004454
Lymphoblastic malignant lymphoma	UMLS:C0079748
Susceptibilities, Disease	UMLS:C0012655
diseases of the spleen	UMLS:C0037997
TONGUE DISORDER	UMLS:C0040409
Neoplasms, Adipose Tissue	UMLS:C0206631
nutritional disorder	UMLS:C3714509
Anterior horn cell disease	UMLS:C0154681
Neoplasm of the Neuroglia	UMLS:C0017638
platelet blood disorder	UMLS:C0005818
Susceptibility	UMLS:C0012655
rayed	UMLS:C0851346
Leukemias	UMLS:C0023418
Degenerative Neurologic Diseases	UMLS:C0524851
Leucocythaemias	UMLS:C0023418
Tumors, Neuroepithelial	UMLS:C0206715
Unspecified disorder of orbit	UMLS:C0029182
disorders of mineral metabolism	UMLS:C0154260
SLEEP DISORDER (NOS)	UMLS:C0851578
Mediastinal Disorders	UMLS:C0025061
Lymphadenopathies	UMLS:C0497156
epithelial neoplasm	UMLS:C1368683
Abnormality of the coagulation cascade	UMLS:C0005779
Unspecified disease of pharynx	UMLS:C0031345
Diseases, Nail	UMLS:C0027339
Giant Cell Tumor	UMLS:C0017525
disorders of phosphorus metabolism	UMLS:C0031707
Disorders, Neurological	UMLS:C0027765
Disease, Periodontal	UMLS:C0031090
Endocrine Pancreas Disease	UMLS:C0271633
Neurodegenerative Disease	UMLS:C0524851
Myeloproliferative disease (chronic) NOS	UMLS:C1292778
Disease, Larynx	UMLS:C0023051
^Cancer	UMLS:C0006826
by poisoning	UMLS:C0032343
Hematological Disorder	UMLS:C0018939
joint tuberculosis	UMLS:C0022415
Prognosis	UMLS:C0033325
Tumor of Lymph Vessel	UMLS:C0206619
coma hepaticum	UMLS:C0019151
Lymphomas, Malignant	UMLS:C0024299
disorders earing	UMLS:C0013447
diseases of the bones	UMLS:C0005940
respiratory tract diseases	UMLS:C0035242
Mesothelial Neoplasm	UMLS:C3714739
Tumor of Bone	UMLS:C0005967
Neoplasm of Lymph Vessel	UMLS:C0206619
poisonings	UMLS:C0032343
Symptom	UMLS:C1457887
diseases of the duodenum	UMLS:C0013289
rectal disease	UMLS:C0034882
Adenopathy	UMLS:C0497156
Pancreatic Disease	UMLS:C0030286
ARTHROSIS	UMLS:C0022408
Hematopoeitic - Myelodysplastic Syndrome (MDS)	UMLS:C3463824
acinar cell tumor	UMLS:C0334390
Lymphoid leukemia	UMLS:C0023448
Disease, Viral	UMLS:C0042769
MENTAL RETARDATION	UMLS:C0025362
ENDOCRINE DISORDERS	UMLS:C0014130
recurring	UMLS:C0034897
disorder endocrine	UMLS:C0014130
boils gum	UMLS:C0149892
disease ears	UMLS:C0013447
neonatal disease	UMLS:C0021290
Tumor, Neuroepithelial	UMLS:C0206715
Arthritides, Crystal	UMLS:C0152087
Disorders of copper metabolism	UMLS:C0012714
Wolffian Adnexal Tumor	UMLS:C1520159
CEREBRAL VASCULAR LESION (NOS)	UMLS:C0007820
laryngeal diseases	UMLS:C0023051
lymphoid leukemia	UMLS:C0023448
Mature T-Cell and NK-Cell Non-Hodgkin Lymphoma	UMLS:C5551485
Respiratory conditions due to chemical fumes and vapors	UMLS:C0155893
Non-Neoplastic Disease	UMLS:C1709246
ICDC Property Terminology	UMLS:C5237933
disease heart valvular	UMLS:C0018824
skin disorders	UMLS:C0037274
Acute back pain	UMLS:C0699896
Mental Retardation	UMLS:C0025362
EAR DISORDERS	UMLS:C0013447
disorders musculo skeletal	UMLS:C0026857
Symptom Cluster	UMLS:C0039082
cause	UMLS:C0015127
Hepatic Encephalopathies	UMLS:C0019151
Hormone disturbance NOS	UMLS:C0014130
Pulp Diseases, Dental	UMLS:C0011405
Granulocytic Leukemia	UMLS:C0023470
Cognitive Retention Disorder	UMLS:C0025261
Degenerative Condition, Neurologic	UMLS:C0524851
Smoldering Leukemia	UMLS:C3463824
Reticulolymphosarcomas	UMLS:C0024299
Lymphatic vessel neoplasm	UMLS:C0206619
heart valve disorder	UMLS:C0018824
Unspecified leukemia	UMLS:C0023418
digestive disorder	UMLS:C0012242
nos perinatal disease	UMLS:C0270075
Appendix Disorder	UMLS:C0267613
etiology	UMLS:C1314792
Urethral Disease	UMLS:C0041969
disease gynecological	UMLS:C0017411
applicable	UMLS:C1272460
ANORECTAL DISORDER	UMLS:C0687707
Genitourinary Disease	UMLS:C0080276
Syndrome, Schaumann's	UMLS:C0036202
DUMPING SYNDROME	UMLS:C0013288
Memory Disorders	UMLS:C0025261
leukemia lymphoid	UMLS:C0023448
Personal history of other leukemia	UMLS:C0260442
Malignant lymphogranuloma	UMLS:C0019829
Symptom Clusters	UMLS:C0039082
Tumor of Skin Appendage	UMLS:C0345988
disease remission	UMLS:C0544452
bleeding diathesis	UMLS:C0005779
CARDIOVASCULAR DISORDERS	UMLS:C0007222
periodontal diseases	UMLS:C0031090
Cancer Related Condition	UMLS:C0280950
thymoma	UMLS:C0040100
Skin Diseases and Manifestations	UMLS:C0037274
alcoholism chronic	UMLS:C0001973
cerebrovascular disease	UMLS:C0007820
Lymph node hyperplasia	UMLS:C0497156
recurs	UMLS:C0034897
squamous cell tumor	UMLS:C0206720
disease bladder	UMLS:C0005686
tongue disorder disease	UMLS:C0040409
pathological disorders	UMLS:C0030660
rotor syndrome	UMLS:C0220991
Metabolic Disorders	UMLS:C0025517
Calcium Disorders	UMLS:C0302590
Urinary Tract Diseases	UMLS:C0042075
diseases of the digestive system	UMLS:C0012242
endocrine system diseases	UMLS:C0014130
GASTROINTESTINAL DISORDER (NOS)	UMLS:C0017178
Disease, Hereditary	UMLS:C0019247
CLOTTING	UMLS:C0005779
diseases caused by viruses	UMLS:C0042769
Blood Platelet Disorder	UMLS:C0005818
airway diseases	UMLS:C0699949
Gingival Disorder	UMLS:C0017563
ligament disorders	UMLS:C0263976
Cardiac diseases	UMLS:C0018799
Muscle Tumor	UMLS:C0282606
scrotum disorder	UMLS:C0268919
Sheath Tumors, Nerve	UMLS:C0206727
Rectum--Diseases	UMLS:C0034882
Disease, Dental Pulp	UMLS:C0011405
memory disorder	UMLS:C0025261
DISORDER CARDIAC (NOS)	UMLS:C0018799
Adrenal Gland Disorders	UMLS:C0001621
Tuberculosis, Joint	UMLS:C0022415
adrenal disease glands	UMLS:C0001621
disorders of carbohydrate metabolism	UMLS:C0149670
Biliary tract--Diseases	UMLS:C0005424
gastrointestinal disorder	UMLS:C0017178
Gastrointestinal Disease	UMLS:C0017178
red blood cell disorder	UMLS:C0221016
Arthropathy, Crystal	UMLS:C0152087
coagulation defect	UMLS:C0005779
Granulocytic Leukemias	UMLS:C0023470
Chronic Illnesses	UMLS:C0008679
INTRACRANIAL NEOPLASM, MENINGIOMA	UMLS:C0025286
severity	UMLS:C0439793
malignant neoplasm	UMLS:C0006826
Heart Valve Disease	UMLS:C0018824
Morbidity	UMLS:C0026538
glial tumors	UMLS:C0017638
Leukemia, Myelocytic	UMLS:C0023470
CEREBROVASCULAR DISORDER (NOS)	UMLS:C0007820
Musculoskeletal System Disorder	UMLS:C0026857
Neoplasm of Muscle	UMLS:C0282606
Paranasal Sinus Disease	UMLS:C0030469
diseases	UMLS:C0012634
pituitary disease	UMLS:C0032002
Tumors, Glial Cell	UMLS:C0017638
CTS-API Disease Category Terminology	UMLS:C4527426
Pharynx Disorders	UMLS:C0031345
disease/therapy duration	UMLS:C0872031
Disease, Respiratory System	UMLS:C0035242
Crystal Arthritides	UMLS:C0152087
Disease, Adrenal Gland	UMLS:C0001621
Processes, Pathological	UMLS:C0030660
Newborn infants--Diseases	UMLS:C0021290
virus infection	UMLS:C0042769
Eye--Diseases	UMLS:C0015397
Bronchi--Diseases	UMLS:C0006261
LEUKAEMIA LYMPHOCYTIC	UMLS:C0023448
diseases respiratory	UMLS:C0035242
nervous system disease	UMLS:C0027765
diseases skin	UMLS:C0037274
hodgkin lymphoma	UMLS:C0019829
articular disease	UMLS:C0022408
adrenal gland disorders	UMLS:C0001621
blood vessel neoplasm	UMLS:C4722524
Vascular Disorders, Brain	UMLS:C0007820
DISORDER GASTROINTESTINAL	UMLS:C0017178
disorders intestine	UMLS:C0021831
Neoplasias	UMLS:C0027651
joint disorder	UMLS:C0022408
disorders communication	UMLS:C0009460
Peritoneal Disease	UMLS:C0031142
DISEASE OF MEDIASTINUM	UMLS:C0025061
illnesses	UMLS:C0221423
Diagnose	UMLS:C0011900
calcium metabolism disorders	UMLS:C0006705
ENDOCRINE DISORDER NOS	UMLS:C0014130
diseases of the heart	UMLS:C0018799
Diseases, Laryngeal	UMLS:C0023051
Chronic myeloproliferative disorder	UMLS:C1292778
viral disease	UMLS:C0042769
Tumors, Germ Cell	UMLS:C0205851
Dental Pulp Diseases	UMLS:C0011405
Urologic Disorder	UMLS:C0042075
CALCIUM DISORDER (NOS)	UMLS:C0302590
Disease, Connective Tissue	UMLS:C0009782
Diseases of hard tissues of teeth	UMLS:C0155926
metabolism disorder	UMLS:C0025517
Diffuse lymphoblastic lymphoma	UMLS:C0079748
of pancreas disease	UMLS:C0030286
Tumor of Neuroepithelial Tissue	UMLS:C0206715
diseases rare	UMLS:C0678236
Joint Disorder	UMLS:C0022408
Heart disease, unspecified	UMLS:C0018799
renal disorders	UMLS:C0022658
Disease, Neonatal	UMLS:C0021290
disease orbital	UMLS:C0029182
Pleural Disease	UMLS:C0032226
Bone Tumors	UMLS:C0005967
tumor	UMLS:C0027651
bone disorder	UMLS:C0005940
magnesium metabolism disorder	UMLS:C0012716
Disease, Metabolic	UMLS:C0025517
UROGENITAL DISORDER	UMLS:C0080276
cns diseases	UMLS:C0007682
Leucocythemias	UMLS:C0023418
Endocrine Disease	UMLS:C0014130
carbohydrate metabolism disorder	UMLS:C0149670
anorectal disorder	UMLS:C0687707
A patient with mild systemic disease	UMLS:C0973439
Pleural Disorder	UMLS:C0032226
Dental Pulp Disease	UMLS:C0011405
Diseases, Urinary Tract	UMLS:C0042075
cardiac valvular disease	UMLS:C0018824
endocrine gland disease	UMLS:C0014130
Myeloid Leukemia	UMLS:C0023470
Wolffian Adenoma	UMLS:C1520159
Communicative Disorder	UMLS:C0009460
Periapical Diseases	UMLS:C0031028
Neoplasms, Squamous Cell	UMLS:C0206720
TESTICULAR DISORDER	UMLS:C0039584
Syndrome, Rotor	UMLS:C0220991
gastrointestinal disorder diagnosis	UMLS:C0017178
berylliosis	UMLS:C0005138
boeck's disease	UMLS:C0036202
polyps	UMLS:C0032584
Unspecified problem associated with amniotic cavity and membranes	UMLS:C0405034
lip diseases	UMLS:C0023760
Lymphogranuloma, Malignant	UMLS:C0019829
diseases of the arteries	UMLS:C0852949
Oligoblastic Leukemia	UMLS:C3463824
Tumors, Odontogenic	UMLS:C0028880
perinatal disease	UMLS:C0270075
Bronchial Diseases	UMLS:C0006261
URETHRAL DISORDER	UMLS:C0041969
diseases gastrointestinal tract	UMLS:C0017178
nerve sheath tumors	UMLS:C0206727
Unspecified disorder of amino-acid metabolism	UMLS:C0002514
disorder scrotum	UMLS:C0268919
mental retardations	UMLS:C0025362
preleukemia	UMLS:C3463824
endocrine disorders	UMLS:C0014130
Tuberculoses, Joint	UMLS:C0022415
disease nails	UMLS:C0027339
diseases nails	UMLS:C0027339
IMBALANCE HORMONAL	UMLS:C0014130
Alcoholism	UMLS:C0001973
disease venous	UMLS:C0235522
Sleep disorder	UMLS:C0851578
ear disorders	UMLS:C0013447
sickness	UMLS:C0221423
diseases kidneys	UMLS:C0022658
Diseases of the urinary system	UMLS:C0042075
Amino Acidopathies, Congenital	UMLS:C0002514
Disorders, Urea Cycle	UMLS:C0154246
Disease, Urinary Tract	UMLS:C0042075
Encephalopathy, Portal-Systemic	UMLS:C0019151
syndrome	UMLS:C0039082
disease disorders skin	UMLS:C0037274
Disorder of nervous system NOS	UMLS:C0027765
tumour	UMLS:C0027651
circulatory diseases system	UMLS:C0728936
endocrine problems	UMLS:C0014130
urinary system disease	UMLS:C0042075
Complex Epithelial Neoplasm	UMLS:C0334391
Neoplasm of Neuroepithelium	UMLS:C0206715
Disorder, Urea Cycle	UMLS:C0154246
Mediastinal Disease	UMLS:C0025061
Arterial Disorder	UMLS:C0852949
Dumping syndrome	UMLS:C0013288
Periapical diseases	UMLS:C0031028
Blood Coagulation Disorder	UMLS:C0005779
lymphomas malignant	UMLS:C0024299
Amyloid nephropathy	UMLS:C0268382
disorder platelet	UMLS:C0005818
Skin and subcutaneous tissue disorders	UMLS:C0178298
blood tumors vessels	UMLS:C4722524
steroid metabolism disorder	UMLS:C0268283
Myocardium--Diseases	UMLS:C0878544
psychological dysfunction	UMLS:C0004936
Lip Disease	UMLS:C0023760
Lymphoma (Hodgkin and Non-Hodgkin)	UMLS:C0024299
Coagulopathy	UMLS:C0005779
COAGULATION DISORDER	UMLS:C0005779
blood platelet disorders	UMLS:C0005818
Lifestyle-Related Condition	UMLS:C0004930
DISORDER KIDNEY	UMLS:C0022658
adrenal disorder gland	UMLS:C0001621
lymphoid leukaemia	UMLS:C0023448
disorders urethra	UMLS:C0041969
disease rates	UMLS:C0026538
Tooth Disease	UMLS:C0040435
giant cell tumor	UMLS:C0017525
Granuloma, Hodgkins	UMLS:C0019829
Endocrine Disorder	UMLS:C0014130
disorders duodenum	UMLS:C0013289
Disease, Pituitary Gland	UMLS:C0032002
Lymphatic Disorders	UMLS:C0024228
CTRP Portfolio Management Main Type Terminology	UMLS:C5446436
bronchial diseases	UMLS:C0006261
Diseases, Endocrine	UMLS:C0014130
BONE DISORDER	UMLS:C0005940
Adrenal Disease	UMLS:C0001621
trophoblastic neoplasm	UMLS:C0041182
Diseases of lymph node or lymph vessels	UMLS:C0024228
Communicative disorders	UMLS:C0009460
Lymphoma (Hodgkin's and Non-Hodgkin's)	UMLS:C0024299
TATSUMI FACTOR DEFICIENCY	UMLS:C1848931
BLOOD DYSCRASIA	UMLS:C0018939
Infections, Virus	UMLS:C0042769
testis (excluding endocrine function)	UMLS:C0039584
syndrome heart disease	UMLS:C0018799
pathological processes	UMLS:C0030660
heart valve disorders	UMLS:C0018824
Eyelid Disease	UMLS:C0015423
Disease, Hematologic	UMLS:C0018939
leukemia types	UMLS:C0023418
Neoplasm of Epidermal Appendage	UMLS:C0345988
co-morbidity	UMLS:C0009488
nerve sheath tumor	UMLS:C0206727
Lymphoma, Hodgkin's	UMLS:C0019829
disorders jaw	UMLS:C0022362
sleep disorders	UMLS:C0851578
{Diagnosis}	UMLS:C0011900
Immune Dysfunction	UMLS:C0021053
Hepatic Encephalopathy	UMLS:C0019151
temporomandibular disorder	UMLS:C0039494
Vascular Diseases, Intracranial	UMLS:C0007820
Lymphatic vessel tumor	UMLS:C0206619
bronchial disorder	UMLS:C0006261
Lymphatic Disease	UMLS:C0024228
Hodgkins Disease	UMLS:C0019829
Diseases of nail	UMLS:C0027339
Heart Valvular Diseases	UMLS:C0018824
Hodgkins disease	UMLS:C0019829
Temporomandibular Joint Disease	UMLS:C0039494
Myocardial disease	UMLS:C0878544
sicknesses	UMLS:C0221423
Endocrinopathy	UMLS:C0014130
radiations	UMLS:C0851346
Infection, Viral	UMLS:C0042769
HEMATOLOGIC DISORDER	UMLS:C0018939
Viral Disease	UMLS:C0042769
Endocrine System Diseases	UMLS:C0014130
parodontosis	UMLS:C0031090
splenic diseases	UMLS:C0037997
lymphoma malignant	UMLS:C0024299
Intestinal Disorder	UMLS:C0021831
BLOOD COAGULATION DEFECT	UMLS:C0005779
genetic aspects	UMLS:C0017399
Wolffian Tumor	UMLS:C1520159
Diseased glomeruli	UMLS:C0268731
mental disorder disorder	UMLS:C0004936
Motor Neuron Diseases	UMLS:C0085084
musculoskeletal disease	UMLS:C0026857
Inborn Errors, Amino Acid Metabolism	UMLS:C0002514
pituitary disorders	UMLS:C0032002
Endocrine System Disorder	UMLS:C0014130
Memory disorders	UMLS:C0025261
Myocardiopathies	UMLS:C0878544
Metabolic Disease	UMLS:C0025517
role sick	UMLS:C0037051
disease/disorder	UMLS:C0012634
renal amyloidosis	UMLS:C0268382
Hepatic Comas	UMLS:C0019147
Radiations	UMLS:C0851346
disorders of adrenal glands	UMLS:C0001621
Unspecified disorder of urethra and urinary tract	UMLS:C0042075
hematologic diseases	UMLS:C0018939
Periodontal disease	UMLS:C0031090
NA	UMLS:C1272460
RESPIRATORY DISORDER	UMLS:C0035204
Disorders, Neurologic	UMLS:C0027765
hodgkins lymphomas	UMLS:C0019829
Disease, Periapical	UMLS:C0031028
Disorders, Phosphorus Metabolism	UMLS:C0031707
Degenerative Conditions, Neurologic	UMLS:C0524851
Respiration Disorder	UMLS:C0035204
Abnormal anterior horn cell morphology	UMLS:C0154681
diseases genitourinary system	UMLS:C0080276
diseases of the eye	UMLS:C0015397
disease rectum	UMLS:C0034882
Neoplasm, Epithelial	UMLS:C1368683
heart disease	UMLS:C0018799
NERVOUS DISORDERS	UMLS:C0027765
Disorders, Temporomandibular	UMLS:C0039494
Preventative Medicine	UMLS:C0033110
DISORDER CENTRAL NERVOUS SYSTEM	UMLS:C0007682
Tumor, Blood Vessel	UMLS:C4722524
parathyroid disorders	UMLS:C0030517
Virus diseases	UMLS:C0042769
recurred	UMLS:C0034897
duodenum disease	UMLS:C0013289
DISORDER PANCREAS	UMLS:C0030286
Gums--Diseases	UMLS:C0017563
Soft Tissue Disease	UMLS:C0263978
Diseases, Tongue	UMLS:C0040409
intestinal disorders	UMLS:C0021831
Epidermal Appendage Tumor	UMLS:C0345988
Neurologic Degenerative Diseases	UMLS:C0524851
MALIGNANT TUMOR	UMLS:C0006826
diathesis	UMLS:C0012655
DISORDER VASCULAR	UMLS:C0042373
disease of palatine tonsil	UMLS:C0272380
historical aspects	UMLS:C0019665
psychological disorder	UMLS:C0004936
central disorder nervous system	UMLS:C0007682
Disease, Endocrine System	UMLS:C0014130
disorder of mastoid	UMLS:C0271474
Muscle Neoplasms	UMLS:C0282606
malignant lymphoma	UMLS:C0024299
Germinoblastic Sarcomas	UMLS:C0024299
genetics syndromes	UMLS:C0019247
Epithelial neoplasm	UMLS:C1368683
red cell blood disorders	UMLS:C0221016
heart disorders	UMLS:C0018799
pathologic process	UMLS:C0030660
Disease, Otological	UMLS:C0013447
Communication Disorder	UMLS:C0009460
GASTROINTESTINAL DISORDERS: GENERAL	UMLS:C0017178
Platelet Disorders	UMLS:C0005818
disease skin	UMLS:C0037274
Schaumann's Syndromes	UMLS:C0036202
Enteropathy	UMLS:C0021831
nervous system disorder	UMLS:C0027765
vein disorder	UMLS:C0235522
biliary and gallbladder disorder	UMLS:C0005424
Chronic Illness	UMLS:C0008679
renal diseases	UMLS:C0022658
Lymphatic Vessel Tumors	UMLS:C0206619
disease neonatal	UMLS:C0021290
Pathologic Process	UMLS:C0030660
Malignant lymphogranulomatosis	UMLS:C0019829
digestive system diseases	UMLS:C0012242
Tongue Disorders	UMLS:C0040409
Respiratory disease	UMLS:C0035204
Epidermoid Cell Neoplasm	UMLS:C0206720
gynecologic disorders	UMLS:C0017411
Tumor of Mast Cells	UMLS:C0334664
Immune System Disorder	UMLS:C0021053
Pituitary Disorder	UMLS:C0032002
INFECTION VIRAL	UMLS:C0042769
Respiration Disorders	UMLS:C0035204
bleeding disorder	UMLS:C0005779
Premenstrual syndrome - PMS	UMLS:C0033046
Trauma	UMLS:C3263723
Fibroepithelial Tumor	UMLS:C0206649
Poisoning	UMLS:C0032343
nail disorder	UMLS:C0027339
arterial disorder	UMLS:C0852949
Leukemias, Lymphocytic	UMLS:C0023448
enzyme deficiency	UMLS:C0149676
Heart Valvular Disease	UMLS:C0018824
Abnormality of the pituitary gland	UMLS:C0032002
paranasal sinus disease	UMLS:C0030469
alcohol dependences	UMLS:C0001973
Neoplasms, Trophoblast	UMLS:C0041182
Retiform Wolffian Adenoma	UMLS:C1520159
disorders spleen	UMLS:C0037997
TUMOR	UMLS:C0027651
adaptive behaviors	UMLS:C0085880
Inborn Amino Acidopathy	UMLS:C0002514
Boeck Sarcoid, any site	UMLS:C0036202
disorder pediatric	UMLS:C0679381
Adrenal Gland Disease	UMLS:C0001621
hematological disorder	UMLS:C0018939
HUTCHINSON-BOECK SYNDROME	UMLS:C0036202
Anomaly of the anterior horn cells	UMLS:C0154681
Dependence, Alcohol	UMLS:C0001973
LYMPHOMA, HODGKIN, CLASSIC	UMLS:C0019829
motor neuron diseases	UMLS:C0085084
neuroepithelial tumor	UMLS:C0206715
Hematologic diseases	UMLS:C0018939
alcohol abuse alcoholism	UMLS:C0001973
hematologic disorder	UMLS:C0018939
Causalities	UMLS:C1314792
Vascular Disorder, Brain	UMLS:C0007820
diseases musculoskeletal system	UMLS:C0026857
Medicine, Preventative	UMLS:C0033110
Arthritis, Crystalline	UMLS:C0152087
Carbohydrate Metabolism Disorders	UMLS:C0149670
malignant tumors	UMLS:C0006826
plasma cell neoplasm	UMLS:C1959632
Heart Disorders	UMLS:C0018799
Clinical Trials Reporting Program Portfolio Management Main Type Terminology	UMLS:C5446436
Mesonephroma	UMLS:C1520159
disease system urinary	UMLS:C0042075
Nerve Sheath Neoplasm	UMLS:C0206727
nephropathies	UMLS:C0022658
Inborn Amino Acidopathies	UMLS:C0002514
BONE TUMOR	UMLS:C0005967
diagnosing	UMLS:C0011900
Diseases, TMJ	UMLS:C0039494
Kidneys--Diseases	UMLS:C0022658
Neoplasm of the Lymph Vessel	UMLS:C0206619
MOTOR SYSTEM DISEASE	UMLS:C0085084
sarcoids	UMLS:C0036202
Vascular Disease, Intracranial	UMLS:C0007820
Heart Valve Diseases	UMLS:C0018824
Disorder of eye, unspecified	UMLS:C0015397
etiology	UMLS:C0015127
CTDC Attribute Name Terminology	UMLS:C5420019
heart valve diseases	UMLS:C0018824
Premenstrual Syndromes	UMLS:C0033046
COAGULATION DEFECT	UMLS:C0005779
Diseases, Virus	UMLS:C0042769
disorders skin	UMLS:C0037274
diseases types of	UMLS:C0457464
Unspecified disease of pancreas	UMLS:C0030286
Phosphorus--Metabolism--Disorders	UMLS:C0031707
HODGKIN'S DISEASE	UMLS:C0019829
Unspecified endocrine disorder	UMLS:C0014130
In remission	UMLS:C0544452
Diseases of the genitourinary system	UMLS:C0080276
pancreatic diseases	UMLS:C0030286
Disorder of fatty acid metabolism	UMLS:C0268634
DISEASES OF THE CIRCULATORY SYSTEM	UMLS:C0728936
ICDC Terminology	UMLS:C5237192
Myeloproliferative Disorder	UMLS:C1292778
illnesses psychiatric	UMLS:C0004936
DISORDER EYE	UMLS:C0015397
Tumor of the Muscle	UMLS:C0282606
Mature B-Cell Non-Hodgkin Lymphoma	UMLS:C1334634
urogenital disease	UMLS:C0080276
dipsomania	UMLS:C0001973
Disease of Arteries, Arterioles and Capillaries	UMLS:C0852949
Disease, Pancreatic	UMLS:C0030286
Epithelioma	UMLS:C1368683
prognoses	UMLS:C0033325
Tumor of Epidermal Appendage	UMLS:C0345988
lipomatous tumor	UMLS:C0206631
Disease, Parathyroid	UMLS:C0030517
Amino Acid Metabolism Disorders, Inborn	UMLS:C0002514
PLEURAL	UMLS:C0032226
sheath nerve tumor	UMLS:C0206727
disease gastrointestinal	UMLS:C0017178
deficiencies enzymes	UMLS:C0149676
Duodenum--Diseases	UMLS:C0013289
