,text,pmid,entities,start_chars,end_chars,label
7752,"Reovirus induced DC maturation and stimulated the production of the proinflammatory cytokines IFN-alpha, TNF-alpha, IL-12p70, and IL-6.",18424722_3,"IL-12p70,TNF-alpha,IFN-alpha","116,105,94","124,114,103","0,0,0"
7753,"Repeated TCR triggering led to enhanced IL-10 production by Th1 cells, and continued IL-12 action and high-dose TCR signaling were required for the development and maintenance of IL-10-producing Th1 cells.",19646904_3,"Th1 cells,IL-10,IL-12","60,40,85","69,45,90","2,0,0"
7754,Replenishing IgM in IgM knockout mice or increasing the levels of IgM-ALA in wild-type B6 mice significantly attenuated the inflammation in both of these inflammatory models that involve IFN-γ and IL-17.,22262657_5,"IL-17,IFN-γ","197,187","202,192","0,0"
7755,"Reporter gene analyses revealed a trend for increased NF-AT, but decreased activator protein 1 and similar NF-kappaB, activity in CD4 T cells from SLE patients as compared with controls.",20506525_7,"activator protein 1,NF-AT","75,54","94,59","1,1"
7756,Research has shown that Tregs can infiltrate cancerous tissue and contribute to tumor growth by secreting immunosuppressive cytokines such as transforming growth factor beta and interleukin (IL)-10.,27420920_3,"interleukin (IL)-10,tumor growth,transforming growth factor beta","178,80,142","197,92,173","0,0,0"
7757,Research on T helper 17 (Th17) cells with regard to immunoediting has revealed elusive results.,23159638_0,T helper 17,12,23,2
7758,Resected specimens were stained for IL-10.,28982868_4,IL-10,36,41,0
7759,Resistance of LPLs and PBLs to Treg suppression was observed in patients with villous atrophy who had significantly enhanced serum levels of IL-15 compared with patients without villous atrophy and controls.,22108452_9,IL-15,141,146,0
7760,Resistance of Stat3-deficient mice to EAU derives in part from an inability of uveitogenic Th17 and Th1 cells to enter eyes or brain of the CD4(Stat3)(-/-) mouse because of the reduction in the expression of activated alpha4/beta1 integrins on CD4(Stat3)(-/-) T cells.,18424728_4,"Th1 cells,Th17,T cells","100,91,260","109,95,267","2,2,2"
7761,"Resistance was associated with enhanced early leukocyte recruitment, increased TLR expression, a skewed type 2 cytokine/chemokine profile, and improved bacterial clearance.",17114422_3,TLR,79,82,0
7762,"Resolution of airway pathophysiology in this model was associated with reduced recruitment, proliferation, and effector function of allergen-specific Th2 cells.",19528258_5,proliferation,92,105,1
7763,Respiratory syncytial virus-infected CLP mice exhibited increased levels of TH2 cytokines and reduced interferon γ in the lungs and lymph nodes compared with RSV-infected sham mice.,23042197_4,"TH2,interferon γ","76,102","79,114","2,0"
7764,"Responses of IELs and of LPLs, and peripheral lymphocytes (PBLs) to suppression by Tregs were tested by analyzing anti-CD3-induced proliferation and interferon (IFN)-γ production in the presence or absence of peripheral Tregs.",22108452_5,"proliferation,interferon (IFN)-γ","131,149","144,167","1,0"
7765,"Responses were not reconstituted with B-1 cells from IL-4 receptor-alpha(-/-) or STAT-6(-/-) mice, nor by IL-4 treatment of B cell-deficient mice at immunization.",16556268_4,"IL-4,IL-4","53,106","57,110","0,0"
7766,Restoration of responder cell proliferation was noted when TLR-activated dendritic cells were separated from both regulators and responders by a semi-permeable membrane.,24244265_4,cell proliferation,25,43,1
7767,Restoration of this pathway in murine T cells would provide the opportunity to more closely model specific human disease states that rely on CD4(+) T cell responses to IFN-alphabeta.,15611252_3,T cells,38,45,2
7768,Restoring the balance of these cells may help with the research and development of immunotherapies for endometrial carcinoma.,24388919_12,endometrial carcinoma,103,124,1
7769,"Result: FOXP3-EXOs were effective to inhibit the CD4+T cell proliferation and the production of Interferon gamma (IFN-γ), interleukin (IL)-6, and IL-17, while they promoted the production of IL-10 in vitro.",35928722_3,"IL-10,IL-17,IFN-γ,Interferon gamma","191,146,114,96","196,151,119,112","0,0,0,0"
7770,"Results GA decreased serum levels of IL-4 and increased IFN-γ, modulated the balance of Th1/Th2 cell subsets in spleen markedly.",28274306_6,"Th1/Th2,cell subsets,IL-4,IFN-γ","88,96,37,56","95,108,41,61","2,2,0,0"
7771,Results and Discussion: cal14.1b and cal14.2c increased intracellular IL-10 production in Treg (CD3+CD4+Foxp3+) cells and decreased intracellular IL-17 production (CD3+CD4+) after 72 h of culture.,31339393_5,"IL-10,IL-17,Treg","70,146,90","75,151,94","0,0,2"
7772,"Results depicted ascites as an inflammatory and immunosuppressive environment, presenting significantly (p < 0.0001) higher amounts of IL-6 and IL-10 than in the patients' blood, as well as significantly (p < 0.05) increased expression of checkpoint inhibitory receptors (programmed death protein-1, PD-1) and ectonucleotidase (CD39) on T lymphocytes.",34359872_4,"IL-10,T lymphocytes","144,337","149,350","0,2"
7773,Results indicate that CD4(+)CD25(+) regulatory T cells are present in L. infantum-infected BALB/c mice and exhibit phenotypic and functional characteristics of Treg.,19167988_3,Treg,160,164,2
7774,Results show that nuclear factor-kappa B (NF-κB) signalling is involved directly in CpG-DNA-induced PD-L1 expression in human B cells.,22670772_4,"nuclear factor-kappa B,NF-κB","18,42","40,47","0,1"
7775,Results showed a higher percentage of CD4+ T cells expressing the RORc transcription factor (Th17) and a lower percentage of cells expressing FoxP3 (Treg) in women with early-onset PE compared with late-onset PE and normotensive groups.,28502089_2,"Th17,Treg","93,149","97,153","2,2"
7776,Results showed that 10(-5) M of rIL-16 treatment induced an enhanced apoptosis in Jurkat cells.,12528894_5,Jurkat cells,82,94,2
7777,Results showed that IFN-γ protein is secreted at low levels after LPAL and that mice required Treg depletion to see the full effect of effector T cells.,26244419_6,"Treg,IFN-γ protein","94,20","98,33","2,0"
7778,"Results showed that cyclin D1 expression was markedly enhanced, and various cyclin-dependent kinase-inhibitors were reduced with increased S phases in the sublines.",27878235_4,cyclin D1,20,29,1
7779,"Results showed that expression of IL-23, IL-17, STAT3 mRNA and protein increased in VMC mice.",21672246_9,"STAT3,protein,IL-23,IL-17","48,63,34,41","53,70,39,46","1,1,0,0"
7780,Results showed that the frequency of Tregs and the mean fluorescence intensity of FOXP3 protein significantly decreased in ITP patients compared to those in healthy controls.,24338252_6,Tregs,37,42,2
7781,"Results showed that the percentage of T-bet-positive cells was significantly decreased, while the percentages of IL-17-, FOXP3-, CD49b-, and LAG-3-positive cells were significantly increased in tumor tissues compared to that in peritumoral tissues.",25034363_5,IL-17-,113,119,0
7782,"Results suggest a shift toward cellular stress pathways and Th1 profiles during pathogenic infection, with strong and sustained type I and II interferon responses.",19214219_4,Th1,60,63,2
7783,"Results were as following. (1) Whereas no modification in CD25 expression was seen, fluvastatin at 5 microM caused a lower level of CD69 expression, accompanied by an essential suppression on proliferation, IL-2 production and cytotoxicity development in PHA-stimulated T cells.",15483743_5,"IL-2,proliferation","207,192","211,205","0,1"
7784,"Results: After IL-12 treatment, the number of CD8+ Tem and the expression of IFN-γ increased significantly; while quite the opposite results were observed when the mTOR pathway was blocked by rapamycin.",28924369_7,"IL-12,IFN-γ","15,77","20,82","0,0"
7785,"Results: After chronic stimulation of TNF-α, the RNA relative expression of GCN5 was 0.31±0.03 (3 days) and 0.53±0.06 (7 days) compared with control group, showing significant difference (F=13.45, P<0.05).",30909341_5,TNF-α,38,43,0
7786,Results: By evaluating T cell dependent cytokine driven pathways linked to IgA isotype induction we identified a defect involving an IL-21 driven STAT3 activation isolated to B cells in sIgAD individuals.,30936864_5,"T cell,STAT3,IL-21","23,146,133","29,151,138","2,1,0"
7787,Results: Expansion of CD4+Foxp3+ regulatory T cells in draining lymph nodes was observed in IL-2 complex and IL-2 complex/rapamycin-treated mice.,32459545_2,"IL-2,IL-2 complex,regulatory T cells","109,92,33","113,104,51","0,0,2"
7788,"Results: T cell sensitivity to IL-6 was most marked in the naïve subset, and related to gp130 rather than IL-6R expression.",31333666_4,T cell,9,15,2
7789,"Results: The production of IFN-γ and IL-17 was increased in untreated (without sitagliptin and VitD3) nephropathic and non-nephropathic T2DM patients compared with healthy controls, whereas FOXP3 expression was decreased.",30907193_4,"IL-17,IFN-γ","37,27","42,32","0,0"
7790,Resveratrol is a polyphenol that acts on multiple molecular targets important for cell differentiation and activation.,20002210_0,cell differentiation,82,102,0
7791,"Resveratrol-treated DCs lost the ability to produce interleukin (IL)-12p70 after activation, but had an increased ability to produce IL-10.",20002210_6,"IL-10,interleukin (IL)-12p70","133,52","138,74","0,0"
7792,Retinoic acid (RA) can promote peripheral conversion of naïve T cells into Foxp3+ Treg cells.,30894405_1,"Retinoic acid,Treg cells","0,82","13,92","1,2"
7793,Retinoic acid (RA) is a diverse regulator of immune responses.,22585464_0,Retinoic acid,0,13,1
7794,"Retinoic acid (RA), a vitamin A metabolite, modulates mucosal T helper cell responses.",23690441_0,"metabolite,mucosal,Retinoic acid","32,54,0","42,61,13","0,2,1"
7795,Retinoic acid has also been shown to suppress loss of Foxp3 induced by TGF-beta1.,18400747_6,"Retinoic acid,TGF-beta1","0,71","13,80","1,0"
7796,"Retinoic acid in the presence of TGF-beta1 reduced STAT6 binding to the Foxp3 promoter and enhanced histone acetylation, thereby reverting the effect of IL-4.",18400747_7,"histone acetylation,STAT6 binding,Retinoic acid,IL-4,TGF-beta1","100,51,0,153,33","119,64,13,157,42","1,1,1,0,0"
7797,"Retinoic acids (RAs), which are active metabolites of vitamin A, are known to enhance Th2-type immune responses in vitro, but the role of RAs in allergic inflammatory cells remains unclear.",19017957_0,"Retinoic acids,vitamin A","0,54","14,63","1,1"
7798,"Retinoids (e.g., vitamin A and its derivatives) can regulate immune responses.",22841964_0,"vitamin A,Retinoids","17,0","26,9","1,1"
7799,Retroviral transduction of UBD in human allo-reactive effector CD4(+) T helper (T(h)) cells upregulates CD25 and mediates downregulation of IL4 and IL5 expression similar to overexpression of FOXP3.,16702978_1,"IL5,IL4","148,140","151,143","0,0"
7800,"Retroviral transduction of c-Maf was able to induce IL-10 expression in Stat6-deficient CD4 and CD8 T cells, and c-Maf directly transactivated IL-10 gene expression through binding to a MARE (Maf recognition element) motif in the IL-10 promoter.",19414776_4,"transactivated,Maf recognition element,IL-10,c-Maf,IL-10,IL-10,c-Maf","128,192,52,27,143,230,113","142,215,57,32,148,235,118","1,1,0,1,0,0,1"
7801,"Reverse correlation of serum anti-C1q antibody and FoxP3(+) Treg cells in PBMNCs (r = -0.714, P<0.01).",24475019_6,Treg cells,60,70,2
7802,"Reverse‑transcription‑quantitative polymerase chain reaction was performed to detect mRNA expression for maternal placenta retinoic acid‑related orphan receptor C, Foxp3 and miRNA (miR)‑210.",30569125_3,"polymerase chain reaction,placenta retinoic","35,114","60,131","1,1"
7803,Rheostatic regulation of IL-22 may be of therapeutic value to restore homeostatic balance and promote intestinal health in human colitis.,34992594_9,IL-22,25,30,0
7804,Rhoh-deficient T cells have been shown to have a defect in TCR signaling manifested during their thymic development.,21182079_1,"thymic development,TCR","97,59","115,62","0,2"
7805,"Ribavirin (RBV), an antiviral reagent used with interferon, is known to polarize the T helper (Th) 1/2 cell balance toward Th1 cells.",22891772_1,"interferon,Th1 cells,T helper","48,123,85","58,132,93","0,2,2"
7806,"Rituximab did not affect tumor necrosis factor α (TNFα), Th1 cell, or Treg cell responses.",21400475_6,"Th1 cell,Treg cell,tumor necrosis factor α,TNFα","57,70,25,50","65,79,48,54","2,2,0,0"
7807,Rituximab strongly reduced in vitro IL-17 and IL-22 production induced by C albicans.,21400475_7,"IL-22,IL-17","46,36","51,41","0,0"
7808,Robust Th2 function and increased CNS-1 demethylation was a stable property that persisted in neonatal Th2 effectors.,17312108_6,"Th2,Th2","103,7","106,10","2,2"
7809,Routine Treg determination could be used to assess the severity of disease and prognosis in children with acute lymphoblastic leukemia.,30944830_8,"Treg,acute lymphoblastic leukemia","8,106","12,134","2,1"
7810,"Runx1 over-expression enhanced interferon-gamma expression via its activation and VWRPY domains, and abolished interleukin-4 expression through its activation domain.",19689732_4,"interleukin-4,interferon-gamma expression,Runx1","111,31,0","124,58,5","0,0,1"
7811,S1P(1) signaled through the kinase mTOR and antagonized the function of transforming growth factor-β mainly by attenuating sustained activity of the signal transducer Smad3.,20852647_3,"kinase,transforming growth factor-β,Smad3,signal transducer","28,72,167,149","34,100,172,166","1,0,1,1"
7812,S3I-201 significantly restrained Th17 cell proliferation.,21672246_11,"cell proliferation,Th17","38,33","56,37","1,2"
7813,"S3I-201, a signal transducer and activator of transcription 3 (STAT3) inhibitor, was added to the coculture system to detect STAT3 role in chemosensitivity.",31018021_9,"signal transducer,STAT3,STAT3,activator","11,63,125,33","28,68,130,42","1,1,1,1"
7814,SAP-deficient 24αβ transgenic T cells (24αβ T cells) exhibited an immature phenotype with reduced Th2 cytokine-producing capacity and diminished cytotoxicity to CD1d-expressing lymphoma cells.,25236978_4,Th2,98,101,2
7815,SATB1 is a genome organizer protein that is expressed in a lineage specific manner in CD4+ T-cells.,31001272_0,"SATB1,genome organizer protein","0,11","5,35","1,1"
7816,SATB1 plays a crucial role in expression of multiple genes throughout the thymic development and peripheral differentiation of T cells.,31001272_1,"SATB1,T cells,thymic development","0,127,74","5,134,92","1,2,0"
7817,SCFA-treated Blimp1-/- Th1 cells produce less IL-10 and induce more severe colitis compared to SCFA-treated WT Th1 cells.,30177845_5,IL-10,46,51,0
7818,"SEB given to pregnant rats significantly increased the absolute number of Tregs and the expression levels of FoxP3, IL-10 and TGF-β (P<0.05, P<0.01) in the peripheral blood of not only neonatal but also adult offspring rats.",32043953_8,"TGF-β,IL-10,Tregs","126,116,74","131,121,79","0,0,2"
7819,SEB induced the production of type 2 T helper cell (Th2) cytokine interleukin (IL)-5 in CCR6(-) subtype and anti-inflammatory cytokine IL-10 in CCR6(+) subtype of CLA(+) CD4(+) Foxp3(+) T cells.,21255144_4,"cytokine interleukin (IL)-5,type 2 T helper cell,IL-10","57,30,135","84,50,140","0,2,0"
7820,"SIGNIFICANCE: As with SOCS1 in our previous report, suppression of SOCS3 alone also has the potential to fully activate DCs maturation.",30851337_5,SOCS3,67,72,1
7821,"SIGNIFICANCE: BR-001, a potent inhibitor of the EED subunit of the PRC2 complex, suppresses tumor progression by modulating the tumor microenvironment.",31395608_9,PRC2 complex,67,79,1
7822,"SIGNIFICANCE: RA can protect against ConA-induced hepatitis through: interrupting early inflammatory response as neutrophils, monocytes and CD4+ T cells infiltration, modulating IL-4 level and subsequent production of TNF-α and NF-κb activation, mitigating second inflammatory responses through increasing IL-10 liver production.",31419710_11,"IL-10,NF-κb,IL-4,TNF-α","306,228,178,218","311,233,182,223","0,1,0,0"
7823,SIGNIFICANCE: These findings demonstrate an immunosuppressive role of tumor-intrinsic β-catenin signaling and the therapeutic potential of CCL28 blockade in gastric cancer.,32156780_11,"gastric cancer,β-catenin","157,86","171,95","1,1"
7824,SJL mice are highly susceptible to proteolipid protein (PLP) 139-151-induced experimental allergic encephalomyelitis (EAE).,16540527_0,proteolipid protein,35,54,1
7825,"SLAT(-/-) peripheral CD4(+) T cells demonstrated impaired TCR/CD28-induced proliferation and IL-2 production, which was rescued by the addition of exogenous IL-2.",17657315_2,"IL-2,IL-2,proliferation","93,157,75","97,161,88","0,0,1"
7826,"SLPI was expressed by dendritic cells (DCs) and because SLPI is known to suppress LPS responsiveness, it was hypothesized that its expression in mucosal DCs may be required to regulate cellular activation to microbial products.",17982048_4,mucosal,145,152,2
7827,SLTCL mediated macrophage polarization is STAT3 dependent and might be one of the major factors for severe immune paralysis leading to poor prognosis of supraglottic laryngeal tumor bearer following standard treatment.,24029664_5,"STAT3,macrophage","42,15","47,25","1,0"
7828,"SMAD4 deficient naïve T cells can differentiate into Th17 cells in the absence of TGF-β signaling, and these Th17 cells are pathogenic during EAE.",31398665_5,"TGF-β signaling,Th17 cells,Th17 cells,SMAD4","82,53,109,0","97,63,119,5","0,2,2,1"
7829,SMAD4 is indispensable for SKI binding to Rorc promoter region to regulate Th17 differentiation.,31398665_9,"SMAD4,Th17","0,75","5,79","1,2"
7830,SMAD4 represses Rorc mRNA transcription to constrain IL-21-induced Th17 differentiation in the absence of TGF-β signaling.,31398665_6,"IL-21-induced,Th17,TGF-β","53,67,106","66,71,111","0,2,0"
7831,SMYD3 abrogation affected iTreg cell formation while allowing dysregulated interleukin-17 production.,25669152_3,"interleukin-17,SMYD3","75,0","89,5","0,1"
7832,SOCS-3 can inhibit polarization to Th1 and contribute to polarization to Th2.,20132230_5,"Th2,Th1","73,35","76,38","2,2"
7833,SOCS3 inhibits IL-12 signaling but also inhibits the IL-2-signaling pathway.,31748225_4,IL-12,15,20,0
7834,"SOCS3 inhibits STAT3 activation, by some but not all STAT3-activating cytokine receptors.",25458989_4,STAT3,15,20,1
7835,SOCS3 is a cytosolic inhibitor of cytokine signaling that suppresses the activation of cytokine receptor-associated JAK kinases.,32144749_0,cytokine,87,95,0
7836,"SOCS3(-/-) DCs expressed lower levels of class II MHC, CD40, CD86, and IL-12 than wild-type (WT)-DCs both in vitro and in vivo, and showed constitutive activation of STAT3.",17675476_4,"CD40,IL-12,STAT3,MHC,class II","55,71,166,50,41","59,76,171,53,49","0,0,1,1,1"
7837,"SOX11 oncogenic expression contributes to the aggressiveness of these tumors by different mechanisms, including tumor and stromal cell interactions.",34189576_1,"SOX11,stromal cell","0,122","5,134","1,0"
7838,SOX11+ MCL had a significant lower T-cell intratumoral infiltration compared with negative cases.,34189576_4,SOX11,0,5,1
7839,SRG3 over-expression not only reduced pro-inflammatory cytokine production by DCs but also shifted macrophages from the inducible nitric oxide synthase (iNOS)-expressing M1 phenotype to the arginase-1-expressing M2 phenotype during EAE.,26147219_5,"nitric oxide synthase,cytokine","130,55","151,63","1,0"
7840,"SS might be initiated by Th1 and Th17 cells, and then progressed by Th2 and Tfh cells via GC formation.",22774983_9,"Tfh cells,Th2,Th17 cells,Th1","76,68,33,25","85,71,43,28","2,2,2,2"
7841,SSc is thought to be an autoimmune disease owing to the presence of high affinity antibodies and possible clinical overlap with other autoimmune diseases such as systemic lupus erythematosus and rheumatoid arthritis.,21790293_1,rheumatoid arthritis,195,215,1
7842,"ST-4 intensifies PI3K/mTOR and NF-ĸB signaling transduction, ultimately leading to enhance T cell activation.",28807764_8,"NF-ĸB,T cell","31,91","36,97","1,2"
7843,ST2 is regarded as the only receptor of IL-33.,30357458_6,IL-33,40,45,0
7844,"ST2+ Tregs exhibit a Th2-biased character, expressing GATA-3 and producing the Th2 cytokines IL-5 and IL-13 -especially in response to IL-33.",27548066_4,"GATA-3,Th2,IL-5,IL-33,IL-13,Tregs","54,79,93,135,102,5","60,82,97,140,107,10","1,2,0,0,0,2"
7845,"ST2+ Tregs preferentially accumulate at non-lymphoid sites, likely mediated by their high expression of several chemokine receptors facilitating tissue homing.",27548066_3,Tregs,5,10,2
7846,STAT binding sites were identified in these elements as well.,24711622_4,"STAT,binding sites","0,5","4,18","1,1"
7847,STAT binding to the high affinity sis-inducible element was intact but binding to an endogenous STAT3 DNA target was impaired.,26255980_5,"STAT,DNA target,STAT3","0,102,96","4,112,101","1,1,1"
7848,"STAT molecules work together with other transcription factors (Foxp3, RORgammat and RORalpha, T-bet, GATA3, Runx 1, NFAT, etc.) also controlled by cytokines, in modulating the Th phenotype and functions.",21462833_6,"Runx 1,STAT,GATA3,NFAT,transcription factors","108,0,101,116,40","114,4,106,120,61","1,1,1,1,1"
7849,STAT phosphorylation has been reported to be promoted by TSLP.,28214951_2,"TSLP,STAT,phosphorylation","57,0,5","61,4,20","0,1,1"
7850,STAT1 gain-of-function (GOF) mutations result in an unexpectedly wide range of clinical features.,31686315_1,STAT1,0,5,1
7851,"STAT1 phosphorylation appears to play an important role in the control of IDO expression by IFNgamma, but the precise regulatory mechanism remains obscure.",19075017_2,"STAT1,phosphorylation","0,6","5,21","1,1"
7852,STAT3 and SOCS3 may thus be targeted to improve the control of infection with M. tuberculosis or the efficiency of vaccination.,25458989_8,STAT3,0,5,1
7853,STAT3 and STAT5 bound to multiple common sites across the locus encoding IL-17.,21278738_3,"STAT5,STAT3,IL-17","10,0,73","15,5,78","1,1,0"
7854,"STAT3 expression in T cells was required for IL-21 production by multiple T helper subsets, and neutralization of IL-21 resulted in decreased HPC activity identical to that in mice with STAT3-deficient T cells.",21505191_3,"IL-21,IL-21,T helper subsets,STAT3,T cells","114,45,74,0,20","119,50,90,5,27","0,0,2,1,2"
7855,STAT3 inhibition and TLR7/8 pathway stimulation in MDSCs repolarize and suppress MDSCs from breast cancer patients.,33679700_13,"STAT3,breast cancer","0,92","5,105","1,1"
7856,STAT3 inhibitors completely abrogated cytokine-induced translocation of FoxO1/FoxO3a into the nucleus.,22761423_5,"FoxO1/FoxO3a,translocation,STAT3","72,55,0","84,68,5","1,1,1"
7857,"STAT3 is a major player in all phases of T cell responses, including T cell subset differentiation, T cell activation, and generation of memory.",25458989_2,"STAT3,T cell activation","0,100","5,117","1,0"
7858,STAT3 phosphorylation is dose dependently activated by IL-21 and inhibited by rhIL-21R-Fc in vitro using T cells.,25447400_5,"IL-21,phosphorylation,STAT3,T cells","55,6,0,105","60,21,5,112","0,1,1,2"
7859,"STAT3 requirement for IL-17 production by Th17, generation of double positive T cells expressing IL-17 and IFN-gamma, and for T cell trafficking into CNS tissues suggests that STAT3 may be a therapeutic target for modulating uveitis, sceritis, or multiple sclerosis.",18424728_6,"IL-17,Th17,T cell,multiple sclerosis,STAT3,STAT3,IFN-gamma,IL-17","97,42,126,247,0,176,107,22","102,46,132,265,5,181,116,27","0,2,2,1,1,1,0,0"
7860,STAT3 signaling was also found to attenuate myocarditis by polarizing macrophages to a less inflammatory phenotype.,30619368_7,STAT3,0,5,1
7861,"STAT3 silencing also increased the levels of CCL4, a CCR5-binding chemokine known to be involved in T helper 1 (Th1) cell recruitment.",24674241_7,"CCL4,STAT3,chemokine","45,0,66","49,5,75","0,1,0"
7862,STAT3 silencing did not affect the immunophenotype of both immature and toll-like receptor (TLR) ligand-matured DC.,24674241_2,STAT3,0,5,1
7863,STAT3 transfection experiments were conducted with small interfering RNA (siRNA) and lentivirus STAT3 to verify the mechanism of As2O3 on Th17-Treg balance in vitro.,31177080_2,"STAT3,Th17-Treg,STAT3","96,138,0","101,147,5","1,2,1"
7864,"STAT3 was critical in modulating the balance of T helper 17 (Th17) and regulatory T (Treg) cells, as well as in promoting CD4(+) T cell proliferation.",20493732_3,"STAT3,regulatory T,Th17,T helper 17","0,71,61,48","5,83,65,59","1,2,2,2"
7865,"STAT3, an essential transcription factor with pleiotropic functions, plays critical roles in the pathogenesis of autoimmunity.",20493732_0,"transcription factor,STAT3","20,0","40,5","1,1"
7866,STAT4 and NF-kappaB therefore cooperate at multiple cis elements to enable NF-kappaB-dependent enhancement of Ifng expression.,20643337_4,"STAT4,multiple cis elements","0,43","5,64","1,1"
7867,STAT4 is strongly involved in these processes.,17114437_2,STAT4,0,5,1
7868,STAT5 and BATF convert Th17 cells into cells that mediate IL-9-dependent effects in allergic airway inflammation and anti-tumor immunity.,32985505_5,"Th17 cells,STAT5","23,0","33,5","2,1"
7869,STAT5 has been previously demonstrated to bind to the HIV long terminal repeat and activate HIV transcription.,32109259_8,STAT5,0,5,1
7870,STAT5 is activated by receptors of both cytokines and has also been implicated as a requirement for generation of memory.,19949423_1,STAT5,0,5,1
7871,"STAT5 is required for embryonic thymocyte production, TCRgamma gene transcription, and Peyer's patch development.",15294943_3,"STAT5,thymocyte","0,32","5,41","1,2"
7872,STAT6 binding to this site reduced TGF-beta1-mediated Foxp3 promoter activation and chromatin modification.,18400747_5,"TGF-beta1-mediated,STAT6 binding,chromatin modification","35,0,84","53,13,106","0,1,1"
7873,SUMMARY: The kind and dose of antigen or infectious agent determines the development of a T helper type 1 or type 2 immune response and the activation of T-regulatory cells.,15090923_7,"T helper type 1,T-regulatory cells","90,154","105,172","2,2"
7874,SUMMARY: The methylation status of the FOXP3 locus provides a means to re-examine Treg in autoimmune disease.,22732485_6,Treg,82,86,2
7875,"SUMOylation of NFATc1 represses IL-2 in vitro, but its role in T cell-mediated immune responses in vivo is unclear.",32986812_2,"NFATc1 represses,IL-2,SUMOylation","15,32,0","31,36,11","1,0,1"
7876,"SWAP-70-like adapter of T cells (SLAT) is a novel guanine nucleotide exchange factor for Rho GTPases that is upregulated in Th2 cells, but whose physiological function is unclear.",17657315_0,"T cells,Th2 cells,guanine nucleotide exchange factor","24,124,50","31,133,84","2,2,1"
7877,"Scaffold protein JLP regulates signal transduction pathways and molecular trafficking inside cells, thus represents a critical component in maintaining cellular functions.",28521278_1,Scaffold protein,0,16,1
7878,Schistosoma mansoni soluble egg antigens (SEA) profoundly regulate the infected host's immune system.,19291704_0,soluble,20,27,0
7879,"Second, for whole blood we developed a flow cytometric assay to determine in parallel the inducible transcription factor NFATc1 and the cytokine IL-2 in stimulated T cells.",20583270_4,"NFATc1,inducible,transcription factor,T cells,IL-2,cytokine","121,90,100,164,145,136","127,99,120,171,149,144","1,0,1,2,0,0"
7880,"Second, immunization of TLR9(+/+) but not TLR9(-/-) mice with non-CpG ODN enhanced antigen-specific antibody responses, although these were T helper type 2 (Th2)-biased.",15379982_5,T helper type 2,140,155,2
7881,"Second, in all CD11c(+) cells, PPARγ was required to suppress expression of the Th17-skewing cytokines IL-6 and IL-23p19.",26062999_5,"PPARγ,IL-23p19","31,112","36,120","1,0"
7882,"Second, they show features of MHC class II antigen-loading competent compartments for cathepsin-D-mediated LLO processing.",22337873_6,"MHC,class II","30,34","33,42","1,1"
7883,"Second, tissue parenchymal cells, in their capacity as sentinel cells, are able to produce different patterns of chemokines in response to different alarm stimuli.",10450520_4,chemokines,113,123,0
7884,Secretion of IL-10 upon CD46 costimulation is largely impaired in T cells from patients with multiple sclerosis (MS).,23144765_1,"IL-10,T cells","13,66","18,73","0,2"
7885,Sections of CAIA mouse joints and spleen were stained for human anti-nuclear antibodies (ANAs) to confirm migration of injected human MSCs.,29879214_6,migration,106,115,0
7886,"Segregation of the data by gender of the parent that transmitted the Stat6VT transgene, but not by gender of the pups, which were analyzed for disease, revealed that the protective effects of Fut7 deficiency were significantly greater when dams were Stat6VT negative.",34433625_4,Stat6VT,69,76,1
7887,"Selectin-ligand formation requires the activity of several glycosyltransferases, including Fut7 In this report, we tested the importance of Fut7 for the development of allergic skin inflammation in the Stat6VT transgenic mouse model.",34433625_2,Stat6VT,202,209,1
7888,"Selective augmentation of IL-4R signaling in Treg cells induced their reprogramming into Th2-like cells and disease susceptibility, whereas Treg-cell-lineage-specific deletion of Il4 and Il13 was protective.",25769611_3,"Treg cells,Il4,Il13,IL-4R","45,179,187,26","55,182,191,31","2,0,0,0"
7889,"Selective deletion of IL-4/IL-13 in T cells blunted the Af-induced lung eosinophilia and further resulted in lower expression of STAT6-regulated chemokines and effector proteins such as Arginase 1, Relm-α, Relm-β, and Muc5a/c.",32108934_3,"T cells,IL-4/IL-13,Arginase 1","36,22,186","43,32,196","2,0,1"
7890,"Selective expansion of endogenous Treg cells in response to the administration of interleukin (IL)-2/antibody complex, such as the IL-2/JES6-1 complex (IL-2C) in mice, is considered an attractive therapeutic approach to various immune disorders.",30885291_1,"IL-2C,Treg cells","152,34","157,44","0,2"
7891,"Selective inhibition of NF-kappaB, AP-1 and p38 MAPK resulted in differential suppression of the Der p 1-induced cytokine release and adhesion molecule expression.",16798840_10,"cytokine,AP-1,NF-kappaB","113,35,24","121,39,33","0,1,1"
7892,Selective inhibition of TCR-induced STAT5 phosphorylation was identified as a potential mechanism for skewed T helper differentiation.,22930452_5,"phosphorylation,STAT5","42,36","57,41","1,1"
7893,Selectively increasing endocervical Tregs may represent a pathway to reduce genital tract inflammation in women.,34630402_7,Tregs,36,41,2
7894,"Self tolerance is maintained via multiple regulatory mechanisms within the immune system, including the thymic deletion of self-reactive T cells and mechanisms of peripheral tolerance.",21790293_3,thymic deletion,104,119,0
